RefexSampleId	BiosampleId	ProjectSampleId
RES00003105	SAMD00004832	11552-120C4
RES00003105	SAMD00004918	11633-122C4
RES00003105	SAMD00021198	11710-123B9
RES00003106	SAMD00005207	12158-128G7
RES00003107	SAMD00004692	11851-124I6
RES00003107	SAMD00005872	11850-124I5
RES00003108	SAMD00004678	11849-124I4
RES00003108	SAMD00005789	11848-124I3
RES00003109	SAMD00004708	11852-124I7
RES00003109	SAMD00005805	11853-124I8
RES00003110	SAMD00006302	11946-126B2
RES00003110	SAMD00006304	11945-126B1
RES00003111	SAMD00006300	11944-126A9
RES00003111	SAMD00006301	11943-126A8
RES00003112	SAMD00004975	11818-124E9
RES00003112	SAMD00006303	11814-124E5
RES00003113	SAMD00004704	11820-124F2
RES00003113	SAMD00005993	11816-124E7
RES00003114	SAMD00005688	11819-124F1
RES00003114	SAMD00005830	11815-124E6
RES00003115	SAMD00005225	11813-124E4
RES00003115	SAMD00005686	11817-124E8
RES00003116	SAMD00004871	11774-124A1
RES00003116	SAMD00005119	11778-124A5
RES00003116	SAMD00005513	11776-124A3
RES00003117	SAMD00004730	11775-124A2
RES00003117	SAMD00005174	11779-124A6
RES00003117	SAMD00005393	11777-124A4
RES00003118	SAMD00005443	10001-101A3
RES00003119	SAMD00005018	12972-138H2
RES00003119	SAMD00005159	12988-138I9
RES00003119	SAMD00005381	13004-139B7
RES00003120	SAMD00021618	12973-138H3
RES00003120	SAMD00021632	12989-139A1
RES00003120	SAMD00021646	13005-139B8
RES00003121	SAMD00021619	12974-138H4
RES00003121	SAMD00021633	12990-139A2
RES00003121	SAMD00021647	13006-139B9
RES00003122	SAMD00021620	12975-138H5
RES00003122	SAMD00021634	12991-139A3
RES00003122	SAMD00021648	13007-139C1
RES00003123	SAMD00021621	12976-138H6
RES00003123	SAMD00021635	12992-139A4
RES00003123	SAMD00021649	13008-139C2
RES00003124	SAMD00021622	12977-138H7
RES00003124	SAMD00021636	12993-139A5
RES00003124	SAMD00021650	13009-139C3
RES00003125	SAMD00021623	12978-138H8
RES00003125	SAMD00021637	12994-139A6
RES00003125	SAMD00021651	13010-139C4
RES00003126	SAMD00021624	12979-138H9
RES00003126	SAMD00021638	12995-139A7
RES00003126	SAMD00021652	13011-139C5
RES00003127	SAMD00021625	12980-138I1
RES00003127	SAMD00021639	12996-139A8
RES00003127	SAMD00021653	13012-139C6
RES00003128	SAMD00021626	12981-138I2
RES00003128	SAMD00021640	12997-139A9
RES00003128	SAMD00021654	13013-139C7
RES00003129	SAMD00021627	12982-138I3
RES00003129	SAMD00021641	12998-139B1
RES00003129	SAMD00021655	13014-139C8
RES00003130	SAMD00021628	12983-138I4
RES00003130	SAMD00021642	12999-139B2
RES00003130	SAMD00021656	13015-139C9
RES00003131	SAMD00021629	12984-138I5
RES00003131	SAMD00021643	13000-139B3
RES00003131	SAMD00021657	13016-139D1
RES00003132	SAMD00021630	12985-138I6
RES00003132	SAMD00021644	13001-139B4
RES00003132	SAMD00021658	13017-139D2
RES00003133	SAMD00021631	12986-138I7
RES00003133	SAMD00021645	13002-139B5
RES00003133	SAMD00021659	13018-139D3
RES00003134	SAMD00021103	14375-156B1
RES00003134	SAMD00021104	14376-156B2
RES00003134	SAMD00021105	14377-156B3
RES00003135	SAMD00021106	14378-156B4
RES00003136	SAMD00021107	14379-156B5
RES00003137	SAMD00021093	14357-155I1
RES00003137	SAMD00021098	14362-155I6
RES00003138	SAMD00021094	14358-155I2
RES00003138	SAMD00021099	14363-155I7
RES00003139	SAMD00021095	14359-155I3
RES00003139	SAMD00021100	14364-155I8
RES00003140	SAMD00021096	14360-155I4
RES00003140	SAMD00021101	14365-155I9
RES00003141	SAMD00021097	14361-155I5
RES00003141	SAMD00021102	14366-156A1
RES00003142	SAMD00022323	14354-155H7
RES00003142	SAMD00022324	14355-155H8
RES00003142	SAMD00022325	14356-155H9
RES00003143	SAMD00022320	14351-155H4
RES00003143	SAMD00022321	14352-155H5
RES00003143	SAMD00022322	14353-155H6
RES00003144	SAMD00022308	14339-155G1
RES00003144	SAMD00022309	14340-155G2
RES00003144	SAMD00022310	14341-155G3
RES00003145	SAMD00022330	14371-156A6
RES00003145	SAMD00022331	14372-156A7
RES00003146	SAMD00022332	14373-156A8
RES00003146	SAMD00022333	14374-156A9
RES00003147	SAMD00022317	14348-155H1
RES00003147	SAMD00022318	14349-155H2
RES00003147	SAMD00022319	14350-155H3
RES00003148	SAMD00022311	14342-155G4
RES00003148	SAMD00022312	14343-155G5
RES00003148	SAMD00022313	14344-155G6
RES00003149	SAMD00022328	14369-156A4
RES00003149	SAMD00022329	14370-156A5
RES00003150	SAMD00022314	14345-155G7
RES00003150	SAMD00022315	14346-155G8
RES00003150	SAMD00022316	14347-155G9
RES00003151	SAMD00022326	14367-156A2
RES00003151	SAMD00022327	14368-156A3
RES00003152	SAMD00005062	10263-104D2
RES00003152	SAMD00005121	10262-104D1
RES00003153	SAMD00004773	11845-124H9
RES00003153	SAMD00005004	11847-124I2
RES00003153	SAMD00005557	11846-124I1
RES00003154	SAMD00004676	10253-104C1
RES00003154	SAMD00005822	10252-104B9
RES00003155	SAMD00005036	10260-104C8
RES00003156	SAMD00021236	12215-129E1
RES00003157	SAMD00021237	12216-129E2
RES00003158	SAMD00021238	12217-129E3
RES00003159	SAMD00021239	12218-129E4
RES00003160	SAMD00004794	13195-141E9
RES00003160	SAMD00005952	13063-139I3
RES00003160	SAMD00005969	13129-140G6
RES00003161	SAMD00021703	13064-139I4
RES00003161	SAMD00021766	13130-140G7
RES00003161	SAMD00021829	13196-141F1
RES00003162	SAMD00021704	13065-139I5
RES00003162	SAMD00021767	13131-140G8
RES00003162	SAMD00021830	13197-141F2
RES00003163	SAMD00021705	13066-139I6
RES00003163	SAMD00021768	13132-140G9
RES00003163	SAMD00021831	13198-141F3
RES00003164	SAMD00021706	13067-139I7
RES00003164	SAMD00021769	13133-140H1
RES00003164	SAMD00021832	13199-141F4
RES00003165	SAMD00021707	13068-139I8
RES00003165	SAMD00021770	13134-140H2
RES00003165	SAMD00021833	13200-141F5
RES00003166	SAMD00021708	13069-139I9
RES00003166	SAMD00021771	13135-140H3
RES00003166	SAMD00021834	13201-141F6
RES00003167	SAMD00021709	13070-140A1
RES00003167	SAMD00021772	13136-140H4
RES00003167	SAMD00021835	13202-141F7
RES00003168	SAMD00021710	13071-140A2
RES00003168	SAMD00021773	13137-140H5
RES00003168	SAMD00021836	13203-141F8
RES00003169	SAMD00021711	13072-140A3
RES00003169	SAMD00021774	13138-140H6
RES00003169	SAMD00021837	13204-141F9
RES00003170	SAMD00021712	13073-140A4
RES00003170	SAMD00021775	13139-140H7
RES00003170	SAMD00021838	13205-141G1
RES00003171	SAMD00021713	13074-140A5
RES00003171	SAMD00021776	13140-140H8
RES00003171	SAMD00021839	13206-141G2
RES00003172	SAMD00021714	13075-140A6
RES00003172	SAMD00021777	13141-140H9
RES00003172	SAMD00021840	13207-141G3
RES00003173	SAMD00021715	13076-140A7
RES00003173	SAMD00021778	13142-140I1
RES00003173	SAMD00021841	13208-141G4
RES00003174	SAMD00021716	13077-140A8
RES00003174	SAMD00021779	13143-140I2
RES00003174	SAMD00021842	13209-141G5
RES00003175	SAMD00021717	13078-140A9
RES00003175	SAMD00021780	13144-140I3
RES00003175	SAMD00021843	13210-141G6
RES00003176	SAMD00005032	12229-129F6
RES00003176	SAMD00005052	12228-129F5
RES00003176	SAMD00005546	12230-129F7
RES00003177	SAMD00004935	12161-128H1
RES00003177	SAMD00005037	12159-128G8
RES00003177	SAMD00005808	12163-128H3
RES00003178	SAMD00004836	12162-128H2
RES00003178	SAMD00005483	12164-128H4
RES00003178	SAMD00006004	12160-128G9
RES00003179	SAMD00021213	11947-126B3
RES00003180	SAMD00005370	11484-119D8
RES00003180	SAMD00005597	11485-119D9
RES00003181	SAMD00004682	11299-117B3
RES00003182	SAMD00005734	11708-123B7
RES00003182	SAMD00005740	11550-120C2
RES00003183	SAMD00004686	11709-123B8
RES00003183	SAMD00004768	11551-120C3
RES00003183	SAMD00005982	11632-122C3
RES00003184	SAMD00005132	11856-125A2
RES00003185	SAMD00005197	11854-124I9
RES00003186	SAMD00004722	11855-125A1
RES00003187	SAMD00005586	11711-123C1
RES00003187	SAMD00005910	11729-123E1
RES00003187	SAMD00005984	11634-122C5
RES00003188	SAMD00004681	11712-123C2
RES00003189	SAMD00004673	11636-122C7
RES00003189	SAMD00004825	11731-123E3
RES00003189	SAMD00005867	11713-123C3
RES00003190	SAMD00004728	11639-122D1
RES00003190	SAMD00005064	11716-123C6
RES00003190	SAMD00021200	11734-123E6
RES00003191	SAMD00004986	11640-122D2
RES00003191	SAMD00005198	11717-123C7
RES00003191	SAMD00005570	11735-123E7
RES00003192	SAMD00005195	11718-123C8
RES00003192	SAMD00005410	11736-123E8
RES00003192	SAMD00005713	11641-122D3
RES00003193	SAMD00004767	11647-122D9
RES00003193	SAMD00005136	11742-123F5
RES00003193	SAMD00005346	11724-123D5
RES00003194	SAMD00004921	11738-123F1
RES00003194	SAMD00005340	11643-122D5
RES00003194	SAMD00005748	11720-123D1
RES00003195	SAMD00004948	11739-123F2
RES00003195	SAMD00005482	11644-122D6
RES00003195	SAMD00005801	11721-123D2
RES00003196	SAMD00004769	11740-123F3
RES00003196	SAMD00005499	11722-123D3
RES00003196	SAMD00005951	11645-122D7
RES00003197	SAMD00005038	11741-123F4
RES00003197	SAMD00005045	11646-122D8
RES00003197	SAMD00005105	11723-123D4
RES00003198	SAMD00004762	11490-119E5
RES00003198	SAMD00005278	11770-123I6
RES00003198	SAMD00005603	11489-119E4
RES00003199	SAMD00004838	11725-123D6
RES00003199	SAMD00005498	11648-122E1
RES00003199	SAMD00005914	11743-123F6
RES00003200	SAMD00021199	11727-123D8
RES00003201	SAMD00004908	11728-123D9
RES00003201	SAMD00005863	11746-123F9
RES00003201	SAMD00005987	11651-122E4
RES00003202	SAMD00004813	11830-124G3
RES00003203	SAMD00005887	11825-124F7
RES00003204	SAMD00004776	11714-123C4
RES00003204	SAMD00005469	11822-124F4
RES00003204	SAMD00005803	11824-124F6
RES00003204	SAMD00005998	11637-122C8
RES00003204	SAMD00021201	11821-124F3
RES00003204	SAMD00021202	11823-124F5
RES00003205	SAMD00021225	11959-126C6
RES00003206	SAMD00021214	11948-126B4
RES00003207	SAMD00005255	10003-101A7
RES00003208	SAMD00021267	12308-130F4
RES00003208	SAMD00021313	12430-132A9
RES00003208	SAMD00021359	12552-133F5
RES00003209	SAMD00021268	12309-130F5
RES00003209	SAMD00021314	12431-132B1
RES00003209	SAMD00021360	12553-133F6
RES00003210	SAMD00021269	12310-130F6
RES00003210	SAMD00021315	12432-132B2
RES00003210	SAMD00021361	12554-133F7
RES00003211	SAMD00021270	12311-130F7
RES00003211	SAMD00021316	12433-132B3
RES00003211	SAMD00021362	12555-133F8
RES00003212	SAMD00021271	12312-130F8
RES00003212	SAMD00021317	12434-132B4
RES00003212	SAMD00021363	12556-133F9
RES00003213	SAMD00021272	12313-130F9
RES00003213	SAMD00021318	12435-132B5
RES00003213	SAMD00021364	12557-133G1
RES00003214	SAMD00021273	12314-130G1
RES00003214	SAMD00021319	12436-132B6
RES00003214	SAMD00021365	12558-133G2
RES00003215	SAMD00021274	12315-130G2
RES00003215	SAMD00021320	12437-132B7
RES00003215	SAMD00021366	12559-133G3
RES00003216	SAMD00021275	12316-130G3
RES00003216	SAMD00021321	12438-132B8
RES00003216	SAMD00021367	12560-133G4
RES00003217	SAMD00021276	12317-130G4
RES00003217	SAMD00021322	12439-132B9
RES00003217	SAMD00021368	12561-133G5
RES00003218	SAMD00021277	12318-130G5
RES00003218	SAMD00021323	12440-132C1
RES00003218	SAMD00021369	12562-133G6
RES00003219	SAMD00021278	12319-130G6
RES00003219	SAMD00021324	12441-132C2
RES00003219	SAMD00021370	12563-133G7
RES00003220	SAMD00021279	12320-130G7
RES00003220	SAMD00021325	12442-132C3
RES00003220	SAMD00021371	12564-133G8
RES00003221	SAMD00021280	12321-130G8
RES00003221	SAMD00021326	12443-132C4
RES00003221	SAMD00021372	12565-133G9
RES00003222	SAMD00021281	12322-130G9
RES00003222	SAMD00021327	12444-132C5
RES00003222	SAMD00021373	12566-133H1
RES00003223	SAMD00021282	12323-130H1
RES00003223	SAMD00021328	12445-132C6
RES00003223	SAMD00021374	12567-133H2
RES00003224	SAMD00021283	12324-130H2
RES00003224	SAMD00021329	12446-132C7
RES00003224	SAMD00021375	12568-133H3
RES00003225	SAMD00021284	12325-130H3
RES00003225	SAMD00021330	12447-132C8
RES00003225	SAMD00021376	12569-133H4
RES00003226	SAMD00021285	12326-130H4
RES00003226	SAMD00021331	12448-132C9
RES00003226	SAMD00021377	12570-133H5
RES00003227	SAMD00021286	12327-130H5
RES00003227	SAMD00021332	12449-132D1
RES00003227	SAMD00021378	12571-133H6
RES00003228	SAMD00021287	12328-130H6
RES00003228	SAMD00021333	12450-132D2
RES00003228	SAMD00021379	12572-133H7
RES00003229	SAMD00021288	12329-130H7
RES00003229	SAMD00021334	12451-132D3
RES00003229	SAMD00021380	12573-133H8
RES00003230	SAMD00021289	12330-130H8
RES00003230	SAMD00021335	12452-132D4
RES00003230	SAMD00021381	12574-133H9
RES00003231	SAMD00021290	12331-130H9
RES00003231	SAMD00021336	12453-132D5
RES00003231	SAMD00021382	12575-133I1
RES00003232	SAMD00021291	12332-130I1
RES00003232	SAMD00021337	12454-132D6
RES00003232	SAMD00021383	12576-133I2
RES00003233	SAMD00021292	12333-130I2
RES00003233	SAMD00021338	12455-132D7
RES00003233	SAMD00021384	12577-133I3
RES00003234	SAMD00021293	12334-130I3
RES00003234	SAMD00021339	12456-132D8
RES00003234	SAMD00021385	12578-133I4
RES00003235	SAMD00021294	12335-130I4
RES00003235	SAMD00021340	12457-132D9
RES00003235	SAMD00021386	12579-133I5
RES00003236	SAMD00021295	12336-130I5
RES00003236	SAMD00021341	12458-132E1
RES00003236	SAMD00021387	12580-133I6
RES00003237	SAMD00021296	12337-130I6
RES00003237	SAMD00021342	12459-132E2
RES00003237	SAMD00021388	12581-133I7
RES00003238	SAMD00005351	12582-133I8
RES00003238	SAMD00005712	12460-132E3
RES00003238	SAMD00005927	12338-130I7
RES00003239	SAMD00021297	12347-131A7
RES00003239	SAMD00021343	12469-132F3
RES00003239	SAMD00021389	12591-134A8
RES00003240	SAMD00005538	12157-128G6
RES00003241	SAMD00005333	12971-138H1
RES00003241	SAMD00005409	12987-138I8
RES00003241	SAMD00005644	13003-139B6
RES00003242	SAMD00004953	13367-143G1
RES00003242	SAMD00005464	13368-143G2
RES00003242	SAMD00005581	13369-143G3
RES00003243	SAMD00021991	13370-143G4
RES00003243	SAMD00021992	13371-143G5
RES00003243	SAMD00021993	13372-143G6
RES00003244	SAMD00021994	13373-143G7
RES00003244	SAMD00021995	13374-143G8
RES00003244	SAMD00021996	13375-143G9
RES00003245	SAMD00021997	13376-143H1
RES00003245	SAMD00021998	13377-143H2
RES00003245	SAMD00021999	13378-143H3
RES00003246	SAMD00022000	13379-143H4
RES00003246	SAMD00022001	13380-143H5
RES00003246	SAMD00022002	13381-143H6
RES00003247	SAMD00022003	13382-143H7
RES00003247	SAMD00022004	13383-143H8
RES00003247	SAMD00022005	13384-143H9
RES00003248	SAMD00022006	13385-143I1
RES00003248	SAMD00022007	13386-143I2
RES00003248	SAMD00022008	13387-143I3
RES00003249	SAMD00022009	13388-143I4
RES00003249	SAMD00022010	13389-143I5
RES00003249	SAMD00022011	13390-143I6
RES00003250	SAMD00022012	13391-143I7
RES00003250	SAMD00022013	13392-143I8
RES00003250	SAMD00022014	13393-143I9
RES00003251	SAMD00022015	13394-144A1
RES00003251	SAMD00022016	13395-144A2
RES00003251	SAMD00022017	13396-144A3
RES00003252	SAMD00022018	13397-144A4
RES00003252	SAMD00022019	13398-144A5
RES00003252	SAMD00022020	13399-144A6
RES00003253	SAMD00022021	13400-144A7
RES00003253	SAMD00022022	13401-144A8
RES00003253	SAMD00022023	13402-144A9
RES00003254	SAMD00022024	13403-144B1
RES00003254	SAMD00022025	13404-144B2
RES00003254	SAMD00022026	13405-144B3
RES00003255	SAMD00022027	13406-144B4
RES00003255	SAMD00022028	13407-144B5
RES00003255	SAMD00022029	13408-144B6
RES00003256	SAMD00022030	13409-144B7
RES00003256	SAMD00022031	13410-144B8
RES00003256	SAMD00022032	13411-144B9
RES00003257	SAMD00022033	13412-144C1
RES00003257	SAMD00022034	13413-144C2
RES00003257	SAMD00022035	13414-144C3
RES00003258	SAMD00022036	13415-144C4
RES00003258	SAMD00022037	13416-144C5
RES00003258	SAMD00022038	13417-144C6
RES00003259	SAMD00022039	13418-144C7
RES00003259	SAMD00022040	13419-144C8
RES00003259	SAMD00022041	13420-144C9
RES00003260	SAMD00004898	10008-101B6
RES00003261	SAMD00005298	1063-29H9
RES00003262	SAMD00005456	49-24D7
RES00003263	SAMD00005504	406-44C5
RES00003264	SAMD00005675	1254-43D6
RES00003265	SAMD00004758	1263-45I1
RES00003266	SAMD00005611	1262-18F5
RES00003267	SAMD00005683	1311-23C1
RES00003268	SAMD00005199	1377-27I3
RES00003269	SAMD00004853	583-22A8
RES00003270	SAMD00005242	46-23H1
RES00003271	SAMD00006018	56-12G2
RES00003272	SAMD00005623	1985-43F5
RES00003273	SAMD00005320	1525-43A6
RES00003274	SAMD00004931	1350-25C3
RES00003275	SAMD00005238	37-13H4
RES00003276	SAMD00022148	13532-145G4
RES00003276	SAMD00022149	13533-145G5
RES00003276	SAMD00022150	13534-145G6
RES00003277	SAMD00022151	13535-145G7
RES00003277	SAMD00022152	13536-145G8
RES00003277	SAMD00022153	13537-145G9
RES00003278	SAMD00022154	13538-145H1
RES00003278	SAMD00022155	13539-145H2
RES00003278	SAMD00022156	13540-145H3
RES00003279	SAMD00004796	15-8B2
RES00003280	SAMD00021111	10114-102E6
RES00003280	SAMD00021123	10126-102F9
RES00003280	SAMD00021135	10138-102H3
RES00003281	SAMD00021112	10115-102E7
RES00003281	SAMD00021124	10127-102G1
RES00003281	SAMD00021136	10139-102H4
RES00003282	SAMD00021113	10116-102E8
RES00003282	SAMD00021125	10128-102G2
RES00003282	SAMD00021137	10140-102H5
RES00003283	SAMD00021114	10117-102E9
RES00003283	SAMD00021126	10129-102G3
RES00003283	SAMD00021138	10141-102H6
RES00003284	SAMD00021115	10118-102F1
RES00003284	SAMD00021127	10130-102G4
RES00003284	SAMD00021139	10142-102H7
RES00003285	SAMD00021116	10119-102F2
RES00003285	SAMD00021128	10131-102G5
RES00003285	SAMD00021140	10143-102H8
RES00003286	SAMD00021117	10120-102F3
RES00003286	SAMD00021129	10132-102G6
RES00003286	SAMD00021141	10144-102H9
RES00003287	SAMD00021118	10121-102F4
RES00003287	SAMD00021130	10133-102G7
RES00003287	SAMD00021142	10145-102I1
RES00003288	SAMD00021119	10122-102F5
RES00003288	SAMD00021131	10134-102G8
RES00003288	SAMD00021143	10146-102I2
RES00003289	SAMD00021120	10123-102F6
RES00003289	SAMD00021132	10135-102G9
RES00003289	SAMD00021144	10147-102I3
RES00003290	SAMD00021121	10124-102F7
RES00003290	SAMD00021133	10136-102H1
RES00003290	SAMD00021145	10148-102I4
RES00003291	SAMD00021122	10125-102F8
RES00003291	SAMD00021134	10137-102H2
RES00003291	SAMD00021146	10149-102I5
RES00003292	SAMD00005275	1395-42I2
RES00003293	SAMD00005637	36-18H7
RES00003294	SAMD00004862	12128-128D4
RES00003294	SAMD00005084	12125-128D1
RES00003294	SAMD00005978	12122-128C7
RES00003295	SAMD00005905	16-22A4
RES00003296	SAMD00004779	19-21D8
RES00003297	SAMD00005145	630-43F1
RES00003298	SAMD00005968	12-14D5
RES00003299	SAMD00004720	1392-42F2
RES00003300	SAMD00005882	20-12F2
RES00003301	SAMD00005403	1388-42B2
RES00003302	SAMD00004895	1310-23B1
RES00003303	SAMD00005890	1387-42A2
RES00003304	SAMD00005687	58-23B2
RES00003305	SAMD00004868	31-12G4
RES00003306	SAMD00005612	345-16C6
RES00003307	SAMD00005492	399-16E2
RES00003308	SAMD00004677	426-16C9
RES00003309	SAMD00005445	1261-18D4
RES00003310	SAMD00005813	633-15C6
RES00003311	SAMD00004944	1532-43E7
RES00003312	SAMD00005344	1551-44G8
RES00003313	SAMD00004878	777-19A2
RES00003314	SAMD00005527	335-25E2
RES00003315	SAMD00005383	359-14H2
RES00003316	SAMD00005279	384-1E2
RES00003317	SAMD00005821	413-26A8
RES00003318	SAMD00005428	437-20E7
RES00003319	SAMD00005953	1517-43C4
RES00003320	SAMD00005639	1520-43B5
RES00003321	SAMD00004837	1564-45I6
RES00003322	SAMD00004987	12126-128D2
RES00003322	SAMD00005059	12129-128D5
RES00003322	SAMD00005912	12123-128C8
